Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8198,2.5341,34.33,0.00
10,0.3541,4.3826,39.70,0.00
15,0.1309,5.4216,43.53,0.00
20,0.0446,5.6697,43.81,0.00
25,0.0380,5.2376,43.42,0.00
30,0.0206,5.6796,43.71,0.00
35,0.0198,4.9685,43.61,0.00
40,0.0182,4.2344,43.52,0.00
45,0.0131,4.0443,43.60,0.00
50,0.0139,3.6055,44.27,0.00
55,0.0123,3.7145,44.85,0.00
60,0.0118,3.2542,44.70,0.00
65,0.0121,3.3045,45.19,0.00
70,0.0091,3.6097,45.30,0.00
75,0.0091,3.0088,45.47,0.00
80,0.0083,2.9827,45.71,0.00
85,0.0093,2.8924,46.25,0.00
90,0.0069,3.1468,46.04,0.00
95,0.0083,2.7382,46.66,0.00
100,0.0069,3.0601,47.01,0.00
