Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7359,4.5334,32.41,0.00
10,0.3630,5.8788,36.50,0.00
15,0.1407,7.3616,38.57,0.00
20,0.0991,8.0675,38.49,0.00
25,0.0448,7.7036,38.25,0.00
30,0.0321,6.3512,38.33,0.00
35,0.0232,6.2858,38.38,0.00
40,0.0223,7.0230,38.34,0.00
45,0.0197,5.3646,38.25,0.00
50,0.0140,4.6028,38.35,0.00
55,0.0129,5.7664,38.84,0.00
60,0.0112,5.1929,38.57,0.00
65,0.0148,4.7910,39.01,0.00
70,0.0109,4.6256,39.45,0.00
75,0.0098,4.8051,39.55,0.00
80,0.0086,4.8489,39.74,0.00
85,0.0092,4.9745,40.38,0.00
90,0.0109,4.6979,40.03,0.00
95,0.0104,4.8111,40.44,0.00
100,0.0096,4.9552,40.45,0.00
