0.5 8.0
Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,1.2368,6.4547,16.73,16.52
10,0.7816,1.5253,22.21,18.64
15,0.4939,1.4183,23.27,9.62
20,0.3035,1.1748,23.89,16.07
25,0.2661,0.9066,24.09,18.47
30,0.2061,0.9211,24.31,14.22
35,0.1877,0.7108,24.43,18.64
40,0.1786,0.6041,24.28,15.66
45,0.1518,0.5569,24.64,15.07
50,0.1564,0.5407,24.45,18.72
55,0.1500,0.5340,24.50,14.07
60,0.1593,0.6627,24.52,18.63
65,0.1379,0.6555,24.56,16.31
70,0.1293,0.2943,24.81,18.55
75,0.0951,0.2943,24.97,18.70
80,0.0691,0.0964,25.16,12.27
85,0.0435,0.0776,25.32,7.77
90,0.0224,0.0259,25.12,7.86
