Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7261,3.2504,30.18,0.00
10,0.3350,3.6865,35.72,0.00
15,0.1441,6.0956,38.76,0.00
20,0.0541,6.0125,38.83,0.00
25,0.0378,5.0714,38.22,0.00
30,0.0231,5.2814,38.80,0.00
35,0.0170,4.6559,38.92,0.00
40,0.0145,4.2910,38.85,0.00
45,0.0131,4.2829,39.23,0.00
50,0.0157,3.9306,39.24,0.00
55,0.0101,3.6756,39.70,0.00
60,0.0110,3.7424,39.67,0.00
65,0.0096,3.1827,39.99,0.00
70,0.0100,2.9228,40.43,0.00
75,0.0115,3.0918,40.19,0.00
80,0.0078,3.0578,41.03,0.00
85,0.0080,3.0179,41.28,0.00
90,0.0072,2.7788,41.78,0.00
95,0.0074,3.2140,42.04,0.00
100,0.0081,2.6301,42.11,0.00
