Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7193,3.4604,32.49,0.00
10,0.3202,4.1967,36.34,0.00
15,0.1236,5.4138,38.59,0.00
20,0.0610,5.5925,39.17,0.00
25,0.0399,6.0434,38.87,0.00
30,0.0260,5.0516,38.75,0.00
35,0.0206,4.9296,39.23,0.00
40,0.0181,4.5333,39.38,0.00
45,0.0156,4.0056,39.49,0.00
50,0.0111,3.6690,39.91,0.00
55,0.0117,3.8990,40.42,0.00
60,0.0101,3.2782,40.88,0.00
65,0.0096,3.2215,41.23,0.00
70,0.0081,3.3137,41.61,0.00
75,0.0083,3.5836,42.23,0.00
80,0.0071,3.1858,42.39,0.00
85,0.0074,3.0375,42.70,0.00
90,0.0081,2.9999,43.01,0.00
95,0.0081,2.8466,43.30,0.00
100,0.0076,2.6852,44.12,0.00
