Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7730,3.3090,35.28,0.00
10,0.3158,5.3969,40.51,0.00
15,0.1316,7.7843,42.39,0.00
20,0.0743,8.1427,41.58,0.00
25,0.0362,7.8334,41.65,0.00
30,0.0345,7.6887,41.75,0.00
35,0.0267,6.3782,42.21,0.00
40,0.0185,7.0105,42.34,0.00
45,0.0149,6.3262,42.04,0.00
50,0.0200,5.1070,42.30,0.00
55,0.0137,5.0733,42.34,0.00
60,0.0166,4.6819,41.99,0.00
65,0.0122,4.8789,42.93,0.00
70,0.0123,4.8607,42.84,0.00
75,0.0127,4.1861,42.66,0.00
80,0.0098,4.3776,43.25,0.00
85,0.0090,4.0376,43.70,0.00
90,0.0103,4.7642,43.34,0.00
95,0.0097,4.6766,43.59,0.00
100,0.0092,4.0705,43.67,0.00
