Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7183,0.7137,29.41,31.59
10,0.3207,0.4086,33.72,32.04
15,0.0644,0.2438,37.15,31.58
20,0.0132,0.1907,36.55,31.75
25,0.0069,0.0917,36.58,31.48
30,0.0006,0.0443,36.68,31.74
35,0.0026,0.0459,36.52,31.53
40,0.0004,0.0228,36.65,31.45
45,0.0003,0.0176,36.61,31.83
50,0.0002,0.0160,36.65,32.05
55,0.0002,0.0159,36.67,31.92
60,0.0002,0.0090,36.66,32.07
65,0.0001,0.0130,36.70,31.84
70,0.0001,0.0110,36.66,31.73
75,0.0001,0.0090,36.69,31.89
80,0.0001,0.0079,36.68,31.70
85,0.0001,0.0138,36.66,31.89
90,0.0001,0.0079,36.65,31.80
95,0.0001,0.0069,36.62,31.79
100,0.0001,0.0063,36.63,31.46
