Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8278,1.3526,27.12,8.23
10,0.4327,0.3827,31.47,8.35
15,0.1539,0.2656,33.11,8.23
20,0.0363,0.2476,33.70,8.16
25,0.0163,0.0614,33.39,8.28
30,0.0029,0.0715,33.91,8.30
35,0.0006,0.0622,33.76,8.23
40,0.0004,0.0671,33.80,8.41
45,0.0004,0.0332,33.85,8.39
50,0.0003,0.0332,33.77,8.32
55,0.0002,0.0178,33.79,8.20
60,0.0002,0.0303,33.80,8.37
65,0.0002,0.0275,33.81,8.21
70,0.0001,0.0209,33.79,8.14
75,0.0002,0.0163,33.81,8.24
80,0.0001,0.0167,33.77,8.37
85,0.0001,0.0161,33.78,8.33
90,0.0001,0.0143,33.80,8.24
95,0.0001,0.0081,33.79,8.57
100,0.0001,0.0118,33.79,8.20
