Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7085,0.6570,29.46,7.87
10,0.3074,0.4065,34.06,7.94
15,0.0658,0.2720,35.66,7.80
20,0.0125,0.2438,36.37,7.77
25,0.0028,0.1254,36.80,7.72
30,0.0006,0.0784,36.76,7.73
35,0.0005,0.0480,36.72,7.76
40,0.0004,0.0341,36.75,7.74
45,0.0003,0.0393,36.79,7.71
50,0.0018,0.0448,36.80,7.80
55,0.0002,0.0272,36.75,7.80
60,0.0002,0.0286,36.75,7.77
65,0.0002,0.0281,36.79,7.85
70,0.0002,0.0228,36.70,7.90
75,0.0001,0.0182,36.75,8.01
80,0.0001,0.0176,36.73,7.89
85,0.0001,0.0167,36.74,7.77
90,0.0001,0.0178,36.70,7.78
95,0.0001,0.0151,36.73,7.75
100,0.0001,0.0127,36.74,7.68
