Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.8184,1.3514,27.68,7.95
10,0.4266,0.5154,31.30,7.84
15,0.1472,0.3945,33.18,7.83
20,0.0428,0.1337,34.51,7.85
25,0.0212,0.1050,34.38,7.83
30,0.0031,0.0797,34.39,7.81
35,0.0006,0.0573,34.40,7.93
40,0.0004,0.0334,34.44,7.88
45,0.0003,0.0268,34.39,7.87
50,0.0002,0.0311,34.39,7.98
55,0.0002,0.0225,34.41,7.94
60,0.0002,0.0361,34.41,7.95
65,0.0002,0.0256,34.42,7.89
70,0.0001,0.0217,34.45,7.84
75,0.0001,0.0186,34.41,8.02
80,0.0001,0.0200,34.42,7.94
85,0.0001,0.0180,34.40,7.86
90,0.0001,0.0125,34.44,7.85
95,0.0001,0.0115,34.43,8.00
100,0.0001,0.0179,34.43,7.80
