Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7335,1.1808,30.30,14.70
10,0.3331,0.5580,34.34,15.12
15,0.0728,0.3383,35.20,15.48
20,0.0181,0.1928,36.61,15.56
25,0.0033,0.0970,36.84,15.73
30,0.0009,0.0553,36.75,15.61
35,0.0004,0.0351,36.80,15.57
40,0.0003,0.0431,36.83,15.51
45,0.0002,0.0247,36.80,15.52
50,0.0002,0.0189,36.85,15.63
55,0.0002,0.0175,36.80,15.62
60,0.0002,0.0233,36.78,15.56
65,0.0001,0.0155,36.79,15.64
70,0.0001,0.0183,36.76,15.51
75,0.0001,0.0132,36.77,15.83
80,0.0001,0.0131,36.77,15.53
85,0.0001,0.0130,36.77,15.76
90,0.0001,0.0083,36.77,15.72
95,0.0001,0.0102,36.75,15.63
100,0.0001,0.0117,36.77,15.67
