Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7449,1.2881,28.12,14.79
10,0.3246,0.6287,33.78,15.08
15,0.0599,0.4998,36.32,15.47
20,0.0143,0.2932,35.96,15.45
25,0.0031,0.1349,36.54,15.55
30,0.0007,0.0624,36.59,15.64
35,0.0005,0.0547,36.58,15.62
40,0.0003,0.0409,36.58,15.56
45,0.0003,0.0345,36.61,15.55
50,0.0002,0.0292,36.61,15.47
55,0.0002,0.0211,36.58,15.48
60,0.0002,0.0256,36.58,15.59
65,0.0001,0.0219,36.55,15.43
70,0.0001,0.0219,36.55,15.56
75,0.0001,0.0146,36.58,15.57
80,0.0001,0.0141,36.58,15.52
85,0.0001,0.0155,36.54,15.47
90,0.0001,0.0108,36.56,15.58
95,0.0001,0.0154,36.52,15.61
100,0.0001,0.0105,36.55,15.65
