Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7202,0.7768,29.19,13.85
10,0.3132,0.3342,35.63,13.84
15,0.0722,0.2867,35.61,13.84
20,0.0136,0.2746,36.97,13.84
25,0.0021,0.1173,36.85,13.89
30,0.0007,0.0764,36.93,13.87
35,0.0006,0.0328,36.87,13.89
40,0.0003,0.0590,36.92,13.89
45,0.0003,0.0350,36.83,13.87
50,0.0002,0.0282,36.88,13.88
55,0.0002,0.0144,36.88,13.88
60,0.0002,0.0146,36.88,13.87
65,0.0001,0.0161,36.86,13.87
70,0.0001,0.0127,36.88,13.85
75,0.0001,0.0104,36.88,13.87
80,0.0001,0.0114,36.86,13.87
85,0.0001,0.0095,36.87,13.86
90,0.0001,0.0119,36.88,13.87
95,0.0001,0.0085,36.85,13.84
100,0.0001,0.0113,36.85,13.84
