Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7130,0.7229,28.93,7.71
10,0.3224,0.4198,34.75,7.99
15,0.0650,0.3544,36.16,7.83
20,0.0190,0.3202,36.48,7.98
25,0.0019,0.1181,36.61,7.91
30,0.0009,0.1086,36.67,7.85
35,0.0004,0.0468,36.73,8.04
40,0.0003,0.0395,36.72,7.96
45,0.0003,0.0343,36.74,7.82
50,0.0002,0.0213,36.74,8.07
55,0.0002,0.0228,36.71,7.76
60,0.0002,0.0263,36.72,7.75
65,0.0001,0.0151,36.72,8.06
70,0.0001,0.0223,36.69,7.96
75,0.0001,0.0168,36.70,7.86
80,0.0001,0.0206,36.73,8.04
85,0.0001,0.0158,36.71,7.82
90,0.0001,0.0118,36.69,7.92
95,0.0001,0.0171,36.72,7.96
100,0.0001,0.0137,36.68,7.91
