Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.7210,4.9825,30.86,0.00
10,0.3663,6.1225,35.00,0.00
15,0.1466,8.4014,38.15,0.00
20,0.0858,8.4538,38.72,0.00
25,0.0419,7.8904,37.86,0.00
30,0.0401,7.6797,37.77,0.00
35,0.0300,7.2096,37.71,0.00
40,0.0210,6.6954,38.05,0.00
45,0.0185,6.5101,38.07,0.00
50,0.0215,6.1418,38.64,0.00
55,0.0149,5.3973,38.81,0.00
60,0.0143,5.9068,38.49,0.00
65,0.0115,5.3024,38.84,0.00
70,0.0102,5.9907,39.24,0.00
75,0.0136,5.4078,39.30,0.00
80,0.0151,4.9882,39.41,0.00
85,0.0118,4.6860,39.65,0.00
90,0.0085,4.9047,39.82,0.00
95,0.0095,4.3665,40.33,0.00
100,0.0104,4.7799,40.41,0.00
