Round,Avg_Train_Loss,Avg_Distillation_Loss,Avg_Test_Accuracy,Generation_Time_s
5,0.6862,2.9994,32.56,0.00
10,0.3073,3.5334,35.65,0.00
15,0.0869,4.9564,37.86,0.00
20,0.0443,5.0997,38.41,0.00
25,0.0179,4.7781,38.66,0.00
30,0.0187,4.6852,38.29,0.00
35,0.0138,3.9301,38.20,0.00
40,0.0133,3.6064,38.58,0.00
45,0.0108,3.6785,38.61,0.00
50,0.0100,3.4100,38.50,0.00
55,0.0089,3.4433,38.84,0.00
60,0.0097,3.2692,38.86,0.00
65,0.0079,3.4055,39.31,0.00
70,0.0077,3.2328,39.39,0.00
75,0.0065,3.1909,39.48,0.00
80,0.0064,3.4835,39.99,0.00
85,0.0080,3.0990,39.82,0.00
90,0.0068,2.7959,39.80,0.00
95,0.0058,2.8484,40.35,0.00
100,0.0046,2.7802,40.45,0.00
